user_screen_name,text,ideology_score,vader_sentiment,vader_sentiment_raw,bert_stance,stance
sakuriakose,RT @CNN: We’re in a helicopter high over the #WomensMarch in Chicago. Watch on Facebook Live https://t.co/GDmAzq0f6k https://t.co/EmQJbjzBtu,-0.401304853,,0,1,1
EdSkipper,RT @MirandaKeeling: Girls just want to have... #WomensMarch https://t.co/uyWPPbR1g9,-1.91791924,1,0.0772,0,1
MagicCityRegi,"Mixed feelings seeing the #WomensMarch 





How many of them voted for Trump because statistically some of them did 😒",-1.123469529,,0,0,1
gotchababy,RT @Lin_Manuel: Relevant to my son's interests #WomensMarch https://t.co/Le4yKo5gRI,-0.216553846,1,0.25,1,1
ArjenCornelisse,@JoopSoesan @MEMRIReports Dus herhalen de dames van de #womensmarch komende zaterdag hun mars?,2.279585883,,0,1,1
brigittenicole,"RT @TimRunsHisMouth: #WomensMarch Logic:


Years of women treated as property in the Middle East: Silent


Trump wins/hasn't done anything yet:…",1.924562345,,0,0,0
_Luana_Queiroz,Brasil podia ter esse tipo de iniciativa tbm ! #WomensMarch https://t.co/nDRuP0dwcR,-1.042476556,,0,1,1
BUMPBIMPS,"RT @arianagrandeTH_: Ariana ที่ #WomensMarch วันนี้ค่ะ คุณยายของอาริก็ไปด้วย 💕


 https://t.co/AIerwiWySu",0.357918823,1,0.6486,1,1
djbratpack,RT @NCResist: @Twitter @SecretService https://t.co/zcF1qc2BPD,-1.616141147,,0,1,1
NotJAFO,"RT @sarahsophief: What's next after the #WomensMarch? Today, @emilyslist is training hundreds of women to run for office. This movement con…",-1.525892262,,0,1,1
AcademicWorker,RT @Calculord: My favorite sign so far. #BosWomensMarch #WomensMarch https://t.co/eGVeT3siK8,-1.743982166,1,0.4588,1,1
Cool_Dad666,RT @hitRECordJoe: Tons of people marching here in LA. #WomensMarch https://t.co/bPrt1gHaY8,-1.350107046,,0,1,1
LTribbs,It's this shit that will keep me away today...it's not supposed to be an anti Trump march;it's supposed to be about equality/rights https://t.co/qqk13vnANz,1.52771714,0,-0.7096,1,0
BabyHaussmann,"RT @droalbert: If you can't be in Washington tomorrow, you can still @womensmarch in Montreal! https://t.co/VE9mXdU7gf #WomensMarchMontreal…",-1.034621991,,0,1,1
jeffreyjonsmith,RT @JanelleMonae: when GODS (goddesses) around the world squad up. UNSTOPPABLE. Unf#uckwittable.  #WomensMarch https://t.co/UIfqSnnmdJ,-2.398444642,0,-0.368,1,1
TheReddestRose,"RT @PolitikMasFina: Hillary. Fucking. Clinton.





#AddHerName https://t.co/CRULmbz3H2",-2.114127746,,0,0,1
djsoutlook,"RT @thebatclaw: THIS was a #WomensMarch :


Iraninan women in 1979 protested against Hijabs, not for. https://t.co/iOMjZ4ajaM",1.508789528,0,-0.128,0,0
ChrisPittsley,"RT @bennwalton: BOSTON WOMEN ARE BAD. ASS. WHAT AN AMAZING DAY

#WomensMarch #marchonboston #boston #StandWithPP https://t.co/2mVOYcvRAQ",0.148147246,1,0.8602,0,1
TParkerSC,RT @ClancyReports: Pres. Trump is uniting people in ways I'm sure he never imagined. https://t.co/uejeuugPpl,-0.35188822,1,0.3182,1,1
JeAVRIL93,"RT @BBCWorld: #WomensMarch against Donald Trump around the world





https://t.co/7TuEWg3qyI https://t.co/SuxvImHowN",-1.586803388,,0,1,1
Bloodymariann,De verdá que adoro a sir Ian. https://t.co/4ndEtp1iCC,0.446577983,,0,1,1
Tony_Shull,RT @womensmarch: This is what democracy looks like. #WomensMarch #WhyIMarch https://t.co/EjVay17UDV,0.131059018,1,0.3612,1,1
knitmastergoat,RT @JessieNYC: Ask yourself why there were no tanks at #WomensMarch - no white women confronted by multiple officers like Ieshia Evans was.,-2.031618693,0,-0.4019,0,1
jongler,RT @dallasgoldtooth: #indigenouswomenrise rounddance before the #WomensMarch on DC. #IndigenousRising https://t.co/ZJpb11J6BR,-0.991669,,0,1,1
katieaune,A few of the signs I saw at the @WomensMarch in #DC yesterday. #WomensMarch https://t.co/OUrAejEi2F,-0.453739479,,0,1,1
demistation,RT @ddlovato: Incredibly proud of the strong women marching and fighting for equality. We will continue to stand united 💪#WomensMarch @wome…,-0.272998174,1,0.7902,1,1
GeekTrader,RT @JumpTheRework: HuffPost: One of Trumps first acts will cost homeowners millions of dollars #IllegitimateTrumpPresident #WomensMarch htt…,-1.505503762,,0,0,1
LadyPashta,"RT @dbongino: The #WomensMarch today is marching for radical liberalism, NOT for women. Let's be crystal clear on that point.",2.097203783,1,0.3818,0,0
WhiteLotus3_9,"RT @CNN: Sen. Kamala Harris speaks at the #WomensMarch: ""We, the people, have the power"" https://t.co/ILbbPxHdqO https://t.co/5zpCzqKO3A",-2.299381887,,0,1,1
ouabryce,RT @unicornialauren: A SUPERGILR É A SUPERGIRL #WomensMarch https://t.co/QdRxqmUGx1,-0.107146692,,0,1,1
jemsign1,RT @womensmarch: Please be safe out there! We are planning a peaceful demonstration for the #WomensMarch. https://t.co/nhCjixXilv https://t…,-1.025421679,1,0.8439,1,1
SkagenGirl,My gear for the #womensmarch in Chattanooga https://t.co/QkLPxjEK4e,-1.36113072,,0,1,1
HelloRox1,"RT @womensmarch: Today, millions of people gathered in cities and towns across the world, to stand together for human rights. https://t.co/…",-1.874545048,,0,1,1
BreakingPoets,"RT @BuzzFeed: .@AmericaFerrera at #WomensMarch: ""The president is not America. His cabinet is not America. Congress is not America. We are…",-1.184585491,,0,1,1
medalhellway,"#WomensMarch Women on the march in Washington? The largest street protests in US history 
https://t.co/lgseWRVzsG
@nowthisnews",0.007487761,0,-0.2263,1,1
WeAreTheWolves5,RT @wsbtv: Cops high-fived marchers as they took to the streets of Atlanta today in solidarity with the #WomensMarch: https://t.co/88nZY7Xp…,-0.943425255,1,0.296,1,1
MisadventuresMg,"Equality, then mimosas. #powertogethertn #WomensMarch https://t.co/LHQuvRqOkt",-1.458336433,,0,1,1
_KellyUlrich,"RT @ajanaomi_king: Resistance. Respect.
#womensmarch 👊🏾 https://t.co/XL6sIlmWxq",-1.199627571,1,0.4767,1,1
12heatherm,"RT @CNN: In NYC, human traffic is stopping car traffic during #WomensMarch https://t.co/mWq5ta7uf0 https://t.co/ThAkGgv5Yt",-0.984516215,0,-0.1531,1,1
jsplendor,RT @AudraEqualityMc: Good for her...and I agree with @chelywright She should sing at the @womensmarch 's march on the 21st. https://t.co/cN…,-1.568269215,1,0.6597,1,1
TEXASisourSTATE,"RT @gregorycendana: #WhyIMarch? For my mom (@RoseCendana), sister (@jesscend) &amp; all the women who already make this country great. ✊🏾 #wome…",-2.341050805,1,0.6249,1,1
o2lspopcorn,I love this https://t.co/UY5Cslp17s,-0.175851544,1,0.6369,1,1
Chk212,"RT @XHNews: The #WomensMarch stages in London, as protesters are against #DonaldTrump's presidency https://t.co/9kaBknU5AN",0.76783885,0,-0.2263,1,1
yohaneen,"RT @Akram_Wadidi: ""بنات مطلوقات قليلات ادب ما عندهن راجل يلمهن"" https://t.co/L16oVciPpK",-1.64681218,,0,0,1
IAdoreURFace,RT @LaurenJauregui: Less than 24 hours and the fascists are movin' WE GOTTA MOVE TOO #whyimarch https://t.co/7DF4uEcr8a,-2.221567711,0,-0.2023,0,1
jjmplsmn,"RT @IMPL0RABLE: #TheResistance #Indivisible #WomensMarch





Protect your rights at a protest, Be safe and heed @ACLU advice


https://t.co/Tbrq…",-1.647174885,1,0.5423,1,1
floral_hobi,"RT @NBCNews: Janelle Monae at #WomensMarch: ""Women will be hidden no more. We will not remain hidden figures. We have names."" https://t.co/…",0.219853143,0,-0.296,1,1
Marcel02935041,"RT @AchimSpiegel: Meine nicht. 





Wir sitzen zusammen trinken Kaffee und essen Birnenkuchen, die Kinder spielen und wir amüsieren uns köstli…",2.298393777,0,-0.1779,1,1
Joy96753,"RT @almostjingo: That awkward moment when you realize the organizer of the #WomensMarch is pro Sharia Law, the very opposite of women's rig…",-0.008026146,0,-0.1531,0,0
Tawanda46,RT @splcenter: The crowd at the #WomensMarch listens to #immigrant activist Sophie Cruz: “We’re here so our families won’t be destroyed” #T…,-1.788115648,,0,1,1
IndRule4080,RT @NazaninBoniadi: Here's something that makes America great. #WomensMarch #loveoverhate https://t.co/GAlZhzSQVO,-1.680246756,1,0.6249,1,1
eungggggggg1,RT @anti_speciesist: @Scarlett_Jo BI*CH RT @heavenlydogz: #ScarlettJohansson Wore #Fur today at #WomensMarch #AnimalCruelty @rickygervais h…,1.197377085,,0,0,0
roddalcantara,RT @cibelinetica: segura essas refêrencias as mulheres fortes da cultura pop #WomensMarch https://t.co/JN5Rd8IZPv,-0.613999227,,0,1,1
sarahmds01,RT @DaRealAmberRose: The next Generation ❤️ https://t.co/RBqIEkIFHn,-0.98803899,,0,1,1
Camaro2girl,RT @decounselorlady: @IncognitoPatrio Theres over 250 million people in US &amp; 2.5M think theyre going to Bully Change Disrupt US!! Think aga…,2.053731447,0,-0.5837,0,0
hotmessmomma81,RT @350: Women’s Marches are happening around the world on Sat. This is a moment to rise up together for justice https://t.co/QZRx7QrAFJ #W…,-1.586004799,1,0.5267,1,1
Glockenschlag13,"RT @FritzUSA: Foto aufgenommen zur gleichen Zeit am selben Ort, während #Inauguration und während des #WomensMarch https://t.co/6PlHXt86rW",-2.070388193,,0,1,1
thumppooh,RT @stephgosk: Packed shoulder to shoulder Never been in a crowd like this #WomensMarch we can't get out of our satellite truck. @NBCNews #…,-1.830134801,1,0.3612,1,1
WMN4SRVL,RT @MENofWM: Want to be held accountable for your responsibility as a MALE on 1/21/17? That's where #MENofWM comes in. #WomensMarch #MenHav…,-1.562447368,1,0.0772,1,1
gerbette,RT @caitrionambalfe: I'm marching in Edinburgh Sat 11am to join with my American sisters to stand up for women's rights    @womensmarch htt…,-1.547092689,1,0.296,1,1
SallyReb,I love her!  #WomensMarch https://t.co/LQi4n8AAO5,-1.438210304,1,0.6696,1,1
sydneyvictor1,RT @RihannaDaily: Rihanna joins #WomensMarch in New York City. 🗽 https://t.co/1FyfnaEYWr,-0.093686062,1,0.5267,1,1
yose0bie,RT @ajplus: Alicia Keys was on 🔥 at the #WomensMarch. https://t.co/PfEiXyABhB,-0.771614455,0,-0.34,1,1
ewanthot,The latest The ArtDesign Daily! https://t.co/2wJfOS0QcG Thanks to @NandaDuart @CamaraE @Audrey_Sargent #trump #womensmarch,-0.533118274,1,0.4926,1,1
jamwonderstruck,RT @blvrrysivan: ON EST D'ACCORD PR DIRE QUE LES PANNEAUX HARRY POTTER C'EST LES MEILLEURS #WomensMarch https://t.co/MzoWdsKlyr,-1.092554918,0,-0.5766,0,1
samvuchenich,"RT @MoElleithee: For those who are dismissing today's march in DC as a bunch of ""coastal elites,"" FYI... Nashville is not a coastal city. h…",-2.293418834,1,0.368,1,1
GS__User,"RT @thehill: DC Cam captures crowd comparison of inauguration and #WomensMarch 


https://t.co/YwXfPDdGzF https://t.co/yobcmzDL2p",0.034225511,,0,1,1
ckolarz,WOW!! https://t.co/FFkRDW6cDO,-1.741956937,1,0.7284,1,1
singsandsews,RT @ARnews1936: When will a #WomensMarch fight 4this woman?Or r women's rights subservient 2'multi-cultural' rights? https://t.co/K0dZFq1vc…,1.727364351,0,-0.4515,0,0
Karenwichmann,RT @TheMandyMoore: I am SO proud of my city and cities across the world peacefully taking action. Inspiring. Empowering. We will NOT be div…,-1.631418065,1,0.9023,1,1
Bonnie75444152,@shannonrwatts @womensmarch THIS APPEARS TO BE A HABIT FOR JOHN LEWIS. NOT A UNITED! https://t.co/A4IPEF3T6V,1.962371042,0,-0.4882,0,0
InstaDerek,"Grand Park and City Hall, #LosAngeles, today. #WomensMarch #glory https://t.co/CCeSqutlIv",-1.720253352,1,0.7579,1,1
Samoonthaa__,RT @ConnorFranta: #WomensMarch https://t.co/Oxy0SvWXDc,1.548400859,,0,1,1
Downbutnotout8,"#MAGA #WomensMarch 


💥All those pussies floating around DC today and not one displaying a genital wart or herpes sore





💥#fakepussies 👇 https://t.co/0JwclmotRO",2.151431028,0,-0.3612,0,0
KMR31871,RT @WillDrabold: A police officer told me this is like Obama in 2009. Unreal. Capitol South metro. #WomensMarch https://t.co/sAAlOY1kEZ,-1.126406308,1,0.3612,1,1
Asheswillfall1,@womensmarch *unless those men and women disagree with you,0.844124029,0,-0.3818,0,0
arika_dar,RT @Marv_Vien: John Kerry spent his first day as a private citizen after 34 years at the #WomensMarch. https://t.co/qC19Uy9kfg,-0.633504342,,0,1,1
PinkFoxPolitics,The #WomensMarch in NYC yesterday. So fucking proud of everyone across the country and the world who stood up &amp; made their voices heard! ✊️ https://t.co/QbGitycReD,0.04405396,1,0.6077,1,1
TomBayz,RT @ThatQuietRachel: #WomensMarch #MurrayMarch https://t.co/7wizMuJIX1,-2.039063108,,0,1,1
mileyisworth,making history!  #WomensMarch,-0.39879137,,0,1,1
miss_ironbox,"RT @womensmarch: At the #WomensMarch on Washington, we follow the principles of Kingian nonviolence. These great kids give voice to them. h…",-1.894869421,1,0.6249,1,1
RastelliMichael,"RT @LATiffani1: These women do realize Hillary accepted millions in donations from a country that stone, rape &amp; demoralize women NOT Trump?…",2.289671484,0,-0.5574,0,0
feathersnpaws,"RT @the_yarb: One of my favorite signs from today's #WomensMarchLA 


#womensmarch #notoriousrbg #ruthbade… https://t.co/nbvEfbOSND https://t…",-1.697564392,1,0.4588,1,1
RealTammyGillis,"Happy Women's march Day!


#wmwcanada #womensmarch ##whyIMarch @CdnWomenMarch https://t.co/8GQ5gji9Xw",-0.857070798,1,0.6114,1,1
DAvallone,"RT @absegel: Go, ladies, go! #womensmarch https://t.co/JzsQFnMh9F",-1.888159061,,0,1,1
globaldancer38,https://t.co/sfYe6qATLk ❤️💙💜Philly #WomensMarch #phillywomenmarch,-1.435733289,1,0.6369,0,1
NytmareCat,RT @ItsRamiMalek: I'm in Paris and so proud to be  @womensmarch This global movement is truly empowering and important. https://t.co/rKPrrf…,0.128580851,1,0.8267,1,1
margot243e,RT @womensmarch: It's finally here! Check out our March Map and remember to print it out and save it to your phone. #WomensMarch https://t.…,-1.463407099,1,0.5411,1,1
kawaiichan72,RT @flybaby014563: Those Women who marched today are not whiny bitches. Those Women who marched today are brave souls who want equality! #W…,-0.664786821,1,0.7985,1,1
Praline_addict,RT @laprofe63: it's beautiful people as far as the eye can see! #womensmarch #chicago https://t.co/SKwtlP6ba4,-0.918640224,1,0.636,1,1
namgod94,"RT @EiProfeta: ""Trump es Voldemort, pero somos Harry Potter."" #WomensMarch https://t.co/jhqjod6Yw5",-0.973036935,,0,1,1
kwissoker,RT @womensmarch: Thank you to every single person who joined us in the streets yesterday. #WomensMarch https://t.co/a0vebWEDVl,-1.911571418,1,0.3612,1,1
FitzMarine11,"RT @SandraTXAS: #WomensMarch change your name to Progressive Women March. You do not represent all women, you do not represent me





#WhyWeMa…",2.277218576,,0,0,0
madinatoure,"RT @lsarsour: God be a fence around the #womensmarch tomorrow. May God protect our marchers, may He envelope us in his love and mercy.",0.227923851,1,0.91,1,1
tainted_ghxul,RT @badass_w: from England to France to Australia to Germany to South Africa - badass women around the world are taking part in the #Womens…,-1.779022458,1,0.34,1,1
DonSai58105890,"RT @Bikers4Liberty: We the people demand that @Madonna be arrested for her threat to the @POTUS today at the #WomensMarch


#RETWEET





Join ht…",1.999484,0,-0.7003,1,0
Rxbun,"RT @kristoncapps: According to @DCPoliceDept, there were zero arrests at today's #WomensMarch.





👏",-1.193867105,0,-0.4404,1,1
perkpress,RT @DanaDelany: Women are marching all over the world. Find one near you. Let's raise the energy! #WomensMarch 🌎🌍🌏 https://t.co/A0PXBBzvaC,-0.117274473,1,0.3382,1,1
TheShinyLion,"RT @ldforry: When my colleagues and I govern w Women in mind, it = lifting up ALL families. #WomensMarch #BosWomensMarch #mapoli https://t.…",-2.375622238,,0,1,1
xazweig,RT @skaufman4050: Best. Sign. Ever. #WomensMarch #womensmarchnyc #sobadevenintrovertsarehere https://t.co/TmJydvooqu,-1.652646536,1,0.6369,1,1
CarmenHawker,Fighting for your right to exist is exhausting. Take care of yourselves out there sisters and allies. #WomensMarch #womensmarchmelbourne https://t.co/gswDTcxsMS,-1.52424735,0,-0.2023,1,1
wdumee,"RT @piersmorgan: No, this is what a mass hissy fit over a failed female presidential candidate's bid for the White House looks like. https:…",2.334292327,1,0.1779,0,0
Anne_Leddon,#BostonWomensMarchforAmerica #BostonWomensMarch #WomensMarch https://t.co/o2n9JWd2TZ,-1.060925494,,0,1,1
shvnny_,A white girl i once a really good friend decided to go on a joy ride with her family and mock people participating in the #WomensMarch ...,-0.82422144,1,0.8258,0,1
pamelajoan51,"RT @Razorlobo: @EastBayExpress we say, go to the @womensmarch https://t.co/NYmXzci0Et",-1.709291152,,0,1,1
JC_Tesla,Being millennials #WomensMarch,1.3223519,,0,0,1
_katdashpoint,"RT @DCZia: This guy was SECRETARY OF STATE yesterday. Today, he marches against the new administration. This doesn't just...happen, y'all.…",-2.021772193,,0,1,1
madilangree,"RT @HillaryClinton: 'Hope Not Fear'


Indeed. 


And what a beautiful piece by Louisa Cannell. 


#womensmarch 👊👊🏻👊🏼👊🏽✨ https://t.co/7h3Bzx79nB",-1.166630382,1,0.894,1,1
kickdbaby,RT @CNN: We’re in a helicopter high over the #WomensMarch in Chicago. Watch on Facebook Live https://t.co/GDmAzq0f6k https://t.co/EmQJbjzBtu,-1.023313935,,0,1,1
DMarie1953,RT @AmyinLondon: What time is the #WomensMarch arriving at the Saudi Embassy?,2.113801382,,0,0,1
yoursbadlands,"RT @LiamKelsall: seeing so many celebs at the women's march does me proud, this is such a powerful and important day #WomensMarch https://t…",0.238907369,1,0.7717,1,1
gameirette,RT @Channel4News: Hundreds of thousands of people take part in Women’s Marches across America and the world #womensmarch https://t.co/5pDCm…,-0.159556364,,0,1,1
Janeygilly,"RT @France4Hillary: 673 marches worldwide.
2.9M people in the US.
750,000 in LA.
500,000 in DC.
WE CRUSHED EXPECTATIONS &amp; MADE HISTORY!
#Wo…",-1.566294228,0,-0.5893,1,1
Lee_in_Iowa,RT @peterdaou: You know who else saw the historic #WomensMarch... GOP leaders. This show of people power will have reverberations we can't…,-1.462944092,,0,1,1
Kaiulani808,"""I AM A NASTY WOMAN!"" https://t.co/r7jKfeZQ9I",-0.892699409,0,-0.6833,1,1
bettyjaneee,RT @CNN: We’re in a helicopter high over the #WomensMarch in Chicago. Watch on Facebook Live https://t.co/GDmAzq0f6k https://t.co/EmQJbjzBtu,0.784697859,,0,1,1
SouthpawSassnac,RT @ananavarro: Wow. Just wow.                         Roar pussycats. Roar! 🐯 https://t.co/Zm04XVw5ng,-2.081370123,1,0.8356,1,1
MyLifeAsRay,RT @CNN: The organizers of #WomensMarch claim protests will take place on all 7 continents https://t.co/GFG5oPloXB https://t.co/wnS7aLPNt3,0.753691292,0,-0.2263,1,1
princessssv_,RT @MarkMyDrews: THIS SIGN IS EVERYTHING #WomensMarch https://t.co/GI2A1JHNWY,-1.465008605,,0,1,1
williamdalemc,"@RossMarquand It was, amazing eh Ross? I was at the one in Portland Or. #WomensMarch",-1.356228658,1,0.5859,1,1
jpzach,"RT @TarekFatah: But Nazanin isn't with BlackLivesMatter and she ain't LGBTQWERSTUSX. Plus, her captives are Muslim. &amp; #WomensMarch needs to…",1.025408058,,0,0,0
annarick15,"RT @MsPackyetti: If #womensmarch is your 1st act of protest, your entry point, welcome.

But make yourself + all of us a promise: don't let…",-1.008627074,1,0.5346,1,1
TheEliselise,"RT @astroehlein: #WomensMarch Brussels - this Friday, 20/1. Be there.  https://t.co/o7E9bSeOKf https://t.co/xZPS0PVbeK",-0.775989016,,0,1,1
nmleap,"It disgusts me to see people so angry about the #WomensMarch. We have a right to protest for our beliefs, just like you do.",0.681620472,0,-0.7809,0,1
Michgurl16,"RT @hrw: #WomensMarch - Berlin, Rome, Marseille, Melbourne (via @guardian) https://t.co/5mj1KfyMMq https://t.co/xC6Mfh8LT4",-2.098335108,,0,1,1
BenJAMMINworley,Because it is wrong that our @POTUS can sexually assault multiple women and still lead our country #whyIMarch,-1.093725304,0,-0.7845,1,1
It_was_Midnight,RT @teganandsara: Ready to march tomorrow. #WomensMarch https://t.co/5aKYE8B9RM,-1.288916974,1,0.3612,1,1
DrLindaShelton,"RT @LGBT_Activist: Again, the whole world is mocking us. #WomensMarch #NeverTrump #Inauguration2017 https://t.co/z2nTSl3uLE",-0.041239908,0,-0.4019,1,1
FifthHouseSun,RT @marissa42_: Here in Des Moines covering the #WomensMarch for @TheDailyIowan. Follow me for updates! https://t.co/LVCaNwlmdW,-2.28899317,,0,1,1
nishaNagma3,#womensmarchSF #WomensMarch 👧👵👩👭💁👰👸👱👯👍✌ https://t.co/dddt5F4knl,-0.713962891,1,0.7506,1,1
AudraSorensen,Inspirational! I wish I were there with you my friend @GabberGonet https://t.co/QxD2MPP6pq,-0.02808112,1,0.8588,1,1
kezhound,"RT @shxrlocked: Sir Ian McKellen's sign is EVERYTHING
#WomensMarch https://t.co/XS3hQ14Mir",-1.394619351,,0,1,1
FullGospel,RT @womensmarch: Support the Women's March on Washington today. We'll see you 1.21 in D.C. https://t.co/eNUNMAL4ji https://t.co/7HvxJnbXcH,0.644826355,1,0.4019,1,1
TAHK0,RT @AntonioFrench: The #WomensMarch in downtown St. Louis! This is what democracy looks like. https://t.co/mzb5xMZUKC,-0.691317999,1,0.4199,1,1
H2oson,RT @chrissyteigen: i was going to go to sundance to support john tomorrow but feeling compelled to support my fellow women. see you at the…,-1.304497314,1,0.7543,1,1
prxncessheaven,RT @GoT_Tyrion: Game of Thrones inspired signs at the #womensmarch https://t.co/iCTlbjd1RZ,0.1382941,1,0.4939,1,1
lil_fierce1,RT @AngryBlackLady: LA is turnt! https://t.co/TrPX9cUarz,-1.306997917,,0,1,1
carlsmith,RT @mariamurriel: We're heading to the #womensmarch in D.C. soon but @mellamoisis already talked to some marchers in other countries! https…,-1.199493479,,0,1,1
MotownDR,"I love this. 


#WomensMarch 


✌❤︎👊💪👏👏👏 https://t.co/ru1B8gaQPd",-2.062695291,1,0.8126,1,1
katelynepearson,RT @jfwong: Inauguration sure didn't look like this. This is America raising her voice against a populist President who threatens our inali…,-1.445900943,0,-0.3421,1,1
CrassusDT,"RT @conmomma: The Conservstive perspective on the #WomensMarch. https://t.co/v9YD3hePp5


@AmyMek @CrassusDT @KellyannePolls @LindaSuhler @Ba…",1.676209842,,0,0,0
teresainnj,Add @HillaryClinton or I am not marching!#####sexistberniebots https://t.co/Xe8nDNQkkd,-1.361446019,,0,1,0
JeauCitizen,RT @womensmarch: Glad to have @MomsDemand as a #WomensMarch partner + to have @shannonrwatts + one of the Mothers of the Movement @lucymcba…,-0.632359728,1,0.4588,1,1
bookworm474,"RT @Killingcrawdads: This is Nashville, TN. This is *not* a movement of coastal elites, just in case you missed the memo. #WomensMarch http…",-1.440523486,0,-0.296,1,1
1USAPROUD,#WomensMarch 🤔 https://t.co/2POPLadFYS,1.98002436,,0,1,1
thecooperlane,RT @michaelurie: #womensmarch https://t.co/4g9wDpZfgK,-1.847121484,,0,1,1
olive0205,RT @MikeHudema: Here's to a day where we don't have to protest this shit. #WomensMarch #BlackLivesMatter #nooneisillegal #ActOnClimate #Dum…,1.170713775,0,-0.5439,1,1
crystalspark2,"RT @drjezphillips: To all Marching,





This was donated by Hayley Gilmore, an artist in Mississippi for today.





Please RT &amp; let everyone see…",-1.868736947,1,0.3182,1,1
frostygary,Yesterday was a success @womensmarch just the beginning we're going to break that glass ceiling. Love is the most powerful force in universe,0.421626335,1,0.8999,1,1
cmilleradams,"RT @bobocek: A smaller #WomensMarch in Mentone, Alabama. About 50 people in a town of 360, not too bad. https://t.co/aKk2hHyDeC",-2.074879299,1,0.431,1,1
NickyDommy,"https://t.co/VmAUPZ6kBv Have fun marching tomorrow, marchers! #WomensMarchOnWashington #WomensMarch",-1.776432848,1,0.5562,1,1
rochelleriley,"RT @CNN: #WomensMarch underway in 


- Paris


- London


- DC


- Boston 


Updates: https://t.co/3a0uBW2nel https://t.co/PMChGTxYxb",-1.427092053,,0,1,1
jsinvr,RT @Zendaya: See you there. #WomensMarch on Washington January 21st 9am-4pm https://t.co/EMcHAroGm2,-1.758686254,,0,1,1
Illy_aannaa,RT @MOGirlProbs: 💗 #WomensMarch https://t.co/wPz0Z7c5u1,-2.5,1,0.7096,1,1
HeyItsAlethea,"seeing all of the photos &amp;videos from the many locations of the #WomensMarch is making me so emotional, I see so much hope with these people",-0.675283963,1,0.6479,1,1
NataJaneen,"RT @MarkRuffalo: #WomensMarch is beautiful. Well balanced, reasoned, and life affirming. Please consider supporting or attending! https://t…",-0.878232172,1,0.8883,1,1
HarmzMajestic,"RT @lsarsour: I had to get him here. Charlie Brotman, inauguration announcer since Eisenhower dropped by Trump is HERE with us! #WomensMarc…",-1.708972902,,0,1,1
ApplebeesReject,RT @allyabe: bless up boston #WomensMarch https://t.co/aSzQ1sc1ts,-0.663379769,1,0.4215,1,1
WMN4SRVL,"RT @BBCNews: Thousands of women set to march in London against Trump 





https://t.co/QpHcJCJcnt #WomensMarch https://t.co/Z2bOC3F1ME",-1.562447368,,0,1,1
MissOMara,RT @mariel_turner: Another real one ✊🏾❤️ #WomensMarch #TupacShakur https://t.co/UCdiZJWmFx,-1.307076236,,0,1,1
Itss_Winnie,"RT @TwitterMoments: The #WomensMarch is today, and thousands are headed to Washington, D.C. Hit ⚡️ Follow to get live updates! https://t.co…",0.691171336,,0,1,1
BeltxaAreta,RT @VeraMBergen: Women feel so strongly about Donald Trump that there was a #WomensMarch today in...Antarctica (photo from a friend) https:…,-1.871488851,1,0.7133,1,1
mattygrif,"RT @KatRamPhoto: Women's March, New Orleans,LA #womensmarchnola #womensmarch #imeverywoman #NewOrleans #katramphoto https://t.co/3bToOxTfjQ",-1.791800814,,0,1,1
PinchandScrimp,"RT @IMPL0RABLE: #TheResistance





Cathy Heller, who accused Trump of assault, is bringing a train car full of people to #WomensMarch https://…",-1.823909597,0,-0.7184,1,1
taigrlily,"RT @SenatorCardin: Marylanders united to celebrate the words of @HillaryClinton ""Women's rights are human rights."" #WomensMarchOnWashington…",-1.289100218,1,0.7579,1,1
meetmspress,This is what democracy looks like. #WomensMarch #whyIMarch https://t.co/yPBq0XIpYd,-2.046700048,1,0.3612,1,1
petitejjong,"RT @NBCNews: America Ferrera at #WomensMarch: ""The president is not America... We are America, and we are here to stay.""  https://t.co/BJJz…",-0.408587251,,0,1,1
SKHinKC,RT @cnnbrk: #WomensMarch attendees gather near the Eiffel Tower in Paris https://t.co/imOTesoEx6 https://t.co/7uDKu3LLnB,-1.859681089,,0,1,1
MujeresTech,RT @patriciasimon: La #WomensMarch contra investidura #Trump podría ser la mayor mani contra una toma posesión en historia EEUU https://t.c…,-1.848991147,,0,1,1
yodoo307,"RT @BridgetRegan: To all 750,000+ of you in LA and MILLIONS around the world THANK YOU. It is clear we are not alone #WomensMarch #WomensMa…",0.083262072,1,0.7631,1,1
hailey_yother,"RT @Fusion: ""I am nasty like...Malala, Michelle, Hillary!""





PREACH, @AshleyJudd. #WomensMarch https://t.co/ulsDmKT7Gi",-0.176860949,0,-0.5983,0,1
keepinit_kei,"RT @mstharrington: So, I attended the #WomensMarch yesterday with this sign and I have a few thoughts. https://t.co/KOJfnWjxZU",0.818706341,,0,1,1
vivimavouchian,"RT @idiotfor5h: ""Nem trump, nem Temer"" GRITO #WomensMarch https://t.co/A0rQFWNAUX",-0.364830082,,0,1,1
hheavns,RT @greedybrooke: It's so sad that we still have to fight for basic things but I'm proud of how many people is out there. #WomensMarch http…,-2.324954845,1,0.2154,1,1
TexasTrinity,Daaamn! #Impressed #Inspired #Empowered #WomensMarch @POTUS #NOTmyPresident https://t.co/PPEURsmqpW,-0.681486322,1,0.7644,1,1
